Strategy,Asset,Timeframe,Net_Profit_USD,ROI_Percent,ROI,ROI_Annual_Percent,ROI_Per_Day_Pct,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Max_Drawdown_USD,Max_Drawdown_Percent,Gross_Drawdown_USD,Gross_Drawdown_Percent,Net_Drawdown_USD,Net_Drawdown_Percent,Current_Drawdown_USD,Current_Drawdown_Percent,Performance_Grade,Deployment_Status,Rank,Initial_Capital_USD,Final_Capital_USD,Time_period_checked,Time_start,time_end,fees_exchnage,Total_Trades,Data_Source
Breakout Retest BINANCEUSDT.P 2026-04-03,AVAX,4h,341174.13,3411.74,34.1174,91.97,0.252,82.56,12.25,2.98,-5519.77,-1.61,-30332.02,-8.64,0,0,0,0,PROMISING,TIER_2,42,10000,351174.13,1993_days,13-10-2020,30-03-2026,0.06%,281,tv_backtester_jan_2024
PSAR Trend BINANCEUSDT 2026-04-03,LDO,4h,105689.67,1056.9,10.569,90.28,0.2474,83.25,8.95,2.59,-1338.58,-1.61,-13293.49,-11.49,0,0,0,0,PROMISING,TIER_2,69,10000,115689.67,1390_days,06-06-2022,27-03-2026,0.06%,197,tv_backtester_jan_2024
Momentum V2 BINANCEUSDT.P 2026-04-03,SUI,4h,49957.76,499.58,4.9958,89.19,0.2444,85.71,23.12,3.42,-722.1,-1.62,-2257.99,-3.77,0,0,0,0,PROMISING,TIER_2,104,10000,59957.76,1026_days,30-05-2023,22-03-2026,0.06%,147,tv_backtester_jan_2024
Momentum V2 BINANCEUSDT.P 2026-04-03,LINK,4h,432520.98,4325.21,43.2521,85.16,0.2333,83.69,14.87,2.53,-7212.75,-1.62,-31192.37,-7.02,0,0,-2021.31,-0.45,PROMISING,TIER_2,39,10000,442520.98,2247_days,05-02-2020,02-04-2026,0.06%,325,tv_backtester_jan_2024
Momentum V2 BINANCEUSDT.P 2026-04-03,AVAX,4h,255516.27,2555.16,25.5516,82.11,0.225,84.73,14.78,2.78,-4337.04,-1.62,-18548.33,-6.94,0,0,-1561.36,-0.58,PROMISING,TIER_2,48,10000,265516.27,1998_days,12-10-2020,02-04-2026,0.06%,262,tv_backtester_jan_2024
39 Chandelier Exit BINANCEUSDT 2026-04-03,LDO,4h,84058.47,840.58,8.4058,79.75,0.2185,81.18,6.41,2.46,-2196.55,-3.22,-15528.59,-16.51,-78.31,-0.78,0,0,PROMISING,TIER_2,81,10000,94058.47,1396_days,31-05-2022,27-03-2026,0.06%,186,tv_backtester_jan_2024
HA Trend BINANCEUSDT.P 2026-04-03,BTC,4h,436014.12,4360.14,43.6014,79.33,0.2173,76.51,10.51,3.42,-6705.44,-1.73,-45833.24,-10.27,0,0,-471.73,-0.11,PROMISING,TIER_2,38,10000,446014.12,2375_days,28-09-2019,30-03-2026,0.06%,630,tv_backtester_jan_2024
Momentum V2 BINANCEUSDT.P 2026-04-03,LDO,4h,61178.59,611.79,6.1179,76.8,0.2104,84.66,9.48,2.74,-1117.41,-3.18,-7216.68,-10.14,0,0,0,0,PROMISING,TIER_2,93,10000,71178.59,1258_days,16-10-2022,28-03-2026,0.06%,176,tv_backtester_jan_2024
HA Trend BINANCEUSDT 2026-04-03,BTC,4h,1245650.42,12456.5,124.565,75.95,0.2081,76,9.17,2.97,-18895.79,-1.73,-152529.17,-12.13,0,0,-1549.38,-0.12,PROMISING,TIER_2,28,10000,1255650.42,3124_days,09-09-2017,30-03-2026,0.06%,825,tv_backtester_jan_2024
PSAR Trend BINANCEUSDT.P 2026-04-03,DOT,4h,217810.73,2178.11,21.7811,75.84,0.2078,79.43,8.51,3.01,-7875.14,-3.34,-28990.29,-12.3,-151.8,-1.52,-7875.14,-3.34,PROMISING,TIER_2,51,10000,227810.73,2023_days,17-09-2020,02-04-2026,0.06%,316,tv_backtester_jan_2024
