Strategy,Asset,Timeframe,Net_Profit_USD,ROI_Percent,ROI,CAGR_Percent,ROI_Per_Day_Pct,Win_Rate_Percent,Win_Rate_Adjusted,Profit_Factor,Sharpe_Ratio,Avg_Win_USD,Avg_Loss_USD,Win_Loss_Ratio,Trades_Per_Year,Max_Drawdown_USD,Max_Drawdown_Percent,Gross_Drawdown_USD,Gross_Drawdown_Percent,Net_Drawdown_USD,Net_Drawdown_Percent,Current_Drawdown_USD,Current_Drawdown_Percent,WR_Flag,Performance_Grade,Deployment_Status,Rank,Initial_Capital_USD,Final_Capital_USD,Time_period_checked,Time_start,time_end,fees_exchnage,Total_Trades,Data_Source
G15 Aroon Donchian Breakout [Webhook] BINANCEUSDT.P 2026-04-08,ADA,4h,70997056.29,709970.56,7099.7056,329.05,0.3995,74.31,74.31,8.98,1.98,129693.92,41757.73,3.11,136.1,-2043850.6,-3.3,-8894397.46,-12.49,-3339.29,-33.39,-214612.06,-0.3,,STRONG,TIER_1,76,10000,71007056.29,2224_days,25-02-2020,29-03-2026,0.06%,829,tv_backtester_jan_2024
G25 CCI Pure HighTP [Webhook] BINANCEUSDT.P 2026-04-08 (1),ETH,4h,69002036.02,690020.36,6900.2036,306.05,0.3844,83.66,83.66,9.27,2.48,113578.09,62741.7,1.81,129,-1071913.4,-1.61,-8344645.56,-12.09,0,0,0,0,HIGH_WR,STRONG,TIER_1,77,10000,69012036.02,2304_days,16-12-2019,08-04-2026,0.06%,814,tv_backtester_jan_2024
G25 CCI Pure HighTP [Webhook] BINANCEUSDT.P 2026-04-08,ETH,4h,69002036.02,690020.36,6900.2036,306.05,0.3844,83.66,83.66,9.27,2.48,113578.09,62741.7,1.81,129,-1071913.4,-1.61,-8344645.56,-12.09,0,0,0,0,HIGH_WR,STRONG,TIER_1,78,10000,69012036.02,2304_days,16-12-2019,08-04-2026,0.06%,814,tv_backtester_jan_2024
G23 Donchian CCI Lite [Webhook] BINANCEUSDT.P 2026-04-08,LTC,4h,65367875.84,653678.76,6536.7876,314.69,0.3902,83.47,83.47,10.99,1.88,118668.65,54544.39,2.18,117.5,-854663.1,-1.6,-6545326.22,-10.01,0,0,0,0,HIGH_WR,STRONG,TIER_1,79,10000,65377875.84,2256_days,28-01-2020,02-04-2026,0.06%,726,tv_backtester_jan_2024
G14 CCI RSI Double Momentum [Webhook] BINANCEUSDT.P 2026-04-08,ETH,4h,65234498.86,652344.99,6523.4499,302.45,0.3819,83.66,83.66,9.21,2.48,107463.32,59759.58,1.8,129,-1013680.3,-1.61,-7948023.75,-12.18,0,0,0,0,HIGH_WR,STRONG,TIER_1,80,10000,65244498.86,2304_days,16-12-2019,08-04-2026,0.06%,814,tv_backtester_jan_2024
G16 CCI Keltner Fusion [Webhook] BINANCEUSDT.P 2026-04-08,ETH,4h,65234498.86,652344.99,6523.4499,302.45,0.3819,83.66,83.66,9.21,2.48,107463.32,59759.58,1.8,129,-1013680.3,-1.61,-7948023.75,-12.18,0,0,0,0,HIGH_WR,STRONG,TIER_1,81,10000,65244498.86,2304_days,16-12-2019,08-04-2026,0.06%,814,tv_backtester_jan_2024
G26 Donchian ADX Aggro [Webhook] BINANCEUSDT.P 2026-04-08,LDO,4h,64927163.65,649271.64,6492.7164,1143.78,0.6925,81.41,81.41,5.79,2.16,154512.62,116941.8,1.32,179.2,-2743093.86,-4.07,-13565248.65,-20.13,0,0,-2445401.26,-3.63,HIGH_WR,PROMISING,TIER_2,82,10000,64937163.65,1272_days,13-10-2022,08-04-2026,0.06%,624,tv_backtester_jan_2024
G35 Ichimoku Donchian Wide [Webhook] BINANCEUSDT.P 2026-04-08,SOL,4h,58046292.94,580462.93,5804.6293,384.15,0.4328,68.01,68.01,8.31,2.19,93206.74,23856.1,3.91,189.4,-1596839.3,-3.22,-7944080.27,-13.68,-2859.1,-28.59,0,0,,STRONG,TIER_1,83,10000,58056292.94,2007_days,06-10-2020,06-04-2026,0.06%,1041,tv_backtester_jan_2024
G35 Ichimoku Donchian Wide [Webhook] BINANCEUSDT.P 2026-04-08,BNB,4h,56250754.18,562507.54,5625.0754,312.95,0.389,74.18,74.18,9.16,2.19,82005.77,25722.72,3.19,170.5,-1573849.05,-3.21,-6893688.63,-12.25,-2077.11,-20.77,-7948.2,-0.01,,STRONG,TIER_1,84,10000,56260754.18,2224_days,05-03-2020,08-04-2026,0.06%,1038,tv_backtester_jan_2024
G28 Donchian Short14 [Webhook] BINANCEUSDT.P 2026-04-08,XRP,4h,54631428.83,546314.29,5463.1429,301.58,0.3814,70.13,70.13,12.5,1.94,93664.96,17600.59,5.32,146,-867094.06,-1.62,-4752158.66,-8.7,-1542.4,-15.42,0,0,,STRONG,TIER_1,85,10000,54641428.83,2261_days,27-01-2020,06-04-2026,0.06%,904,tv_backtester_jan_2024
G36 BB Squeeze Donchian Wide [Webhook] BINANCEUSDT.P 2026-04-08,BNB,4h,54271219.75,542712.2,5427.122,310.27,0.3872,74.03,74.03,10.38,2.19,78606.89,21583.76,3.64,169.4,-1095656.73,-3.38,-5784448.01,-10.65,-2199.95,-22,-7668.54,-0.01,,STRONG,TIER_1,86,10000,54281219.75,2225_days,04-03-2020,08-04-2026,0.06%,1032,tv_backtester_jan_2024
G11 Donchian CCI Power [Webhook] BINANCEUSDT.P 2026-04-08,LTC,4h,53521428.24,535214.28,5352.1428,301.48,0.3813,83.2,83.2,10.79,1.9,97659.8,44795.85,2.18,117.5,-701519.44,-1.6,-5465093.29,-10.21,0,0,0,0,HIGH_WR,STRONG,TIER_1,87,10000,53531428.24,2256_days,28-01-2020,02-04-2026,0.06%,726,tv_backtester_jan_2024
G15 Aroon Donchian Breakout [Webhook] BINANCEUSDT.P 2026-04-08,LTC,4h,53521428.24,535214.28,5352.1428,301.48,0.3813,83.2,83.2,10.79,1.9,97659.8,44795.85,2.18,117.5,-701519.44,-1.6,-5465093.29,-10.21,0,0,0,0,HIGH_WR,STRONG,TIER_1,88,10000,53531428.24,2256_days,28-01-2020,02-04-2026,0.06%,726,tv_backtester_jan_2024
G28 Donchian Short14 [Webhook] BINANCEUSDT.P 2026-04-08,OP,4h,53222702.99,532227.03,5322.2703,886.61,0.6287,80.24,80.24,6.24,2.43,118241.47,76929.74,1.54,178.2,-4263244.16,-7.41,-10154725.98,-17.66,-171.86,-1.72,-4263244.16,-7.41,HIGH_WR,PROMISING,TIER_2,89,10000,53232702.99,1369_days,27-06-2022,27-03-2026,0.06%,668,tv_backtester_jan_2024
G28 Donchian Short14 [Webhook] BINANCEUSDT.P 2026-04-08,BNB,4h,52523321.94,525233.22,5252.3322,308.33,0.3859,72.89,72.89,10.48,2.19,76296.04,19568.78,3.9,171.5,-1067061.49,-3.38,-5537963.57,-10.54,-2344.01,-23.44,-5013.39,-0.01,,STRONG,TIER_1,90,10000,52533321.94,2224_days,05-03-2020,08-04-2026,0.06%,1044,tv_backtester_jan_2024
G19 Donchian Volume Surge [Webhook] BINANCEUSDT.P 2026-04-08,LINK,4h,51588192.99,515881.93,5158.8193,300.33,0.3805,83.23,83.23,7.48,2.04,108073.88,71716.34,1.51,107.4,-841222.8,-1.62,-7960513.88,-15.35,0,0,-248736.44,-0.48,HIGH_WR,PROMISING,TIER_2,91,10000,51598192.99,2251_days,07-02-2020,08-04-2026,0.06%,662,tv_backtester_jan_2024
