source_file,strategy_display,strategy,asset,timeframe,annualization_metric,annualized_return_pct,roi_per_day_pct,win_rate_percent,profit_factor,gross_drawdown_percent,total_trades,deployment_status,time_period_checked,time_start,time_end,fees_exchange,data_source,status_group,credibility_score,flags,eligible_for_paper,promotion_gate,oos_status,paper_trade_recommendation
combo_strategy_results_good.csv,Breakout Retest BINANCEUSDT 2026-04-03,Breakout Retest,LDO,4h,ROI_Annual_Percent,62.21,0.1704,78.53,6.63,14.94,177,TIER_2,1392_days,02-06-2022,25-03-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,65.55,LOW_TRADES,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,Ichimoku V2 BINANCEUSDT 2026-04-03,Ichimoku V2,DOT,4h,ROI_Annual_Percent,21.65,0.0593,76.36,7.96,9.32,110,PAPER_TRADE,2004_days,06-10-2020,02-04-2026,0.06%,tv_backtester_jan_2024,PAPER_ONLY,65.55,LOW_TRADES,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_cagr.csv,4 Hull MA Cross Volume BINANCEUSDT.P 2026-04-06,4 Hull MA Cross Volume,SOL,4h,CAGR_Percent,62.72,0.1334,68.97,8.65,12.16,290,TIER_2,2003_days,06-10-2020,02-04-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,65.42,SCREENING_ONLY_SOURCE,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_cagr2.csv,4 Hull MA Cross Volume BINANCEUSDT.P 2026-04-06,4 Hull MA Cross Volume,SOL,4h,CAGR_Percent,62.72,0.1334,68.97,8.65,12.16,290,TIER_2,2003_days,06-10-2020,02-04-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,65.42,SCREENING_ONLY_SOURCE,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,Ichimoku V2 BINANCEUSDT.P 2026-04-03,Ichimoku V2,AVAX,4h,ROI_Annual_Percent,30.87,0.0846,83.33,8.22,10.57,126,PAPER_TRADE,1958_days,03-11-2020,16-03-2026,0.06%,tv_backtester_jan_2024,PAPER_ONLY,65.4,LOW_TRADES,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_cagr.csv,4 Hull MA Cross Volume BINANCEUSDT.P 2026-04-06,4 Hull MA Cross Volume,LINK,4h,CAGR_Percent,87.85,0.1728,82.57,8.51,13.04,350,TIER_2,2259_days,24-01-2020,02-04-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,65.34,SCREENING_ONLY_SOURCE,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_cagr2.csv,4 Hull MA Cross Volume BINANCEUSDT.P 2026-04-06,4 Hull MA Cross Volume,LINK,4h,CAGR_Percent,87.85,0.1728,82.57,8.51,13.04,350,TIER_2,2259_days,24-01-2020,02-04-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,65.34,SCREENING_ONLY_SOURCE,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,Ichimoku V2 BINANCEUSDT.P 2026-04-03,Ichimoku V2,ADA,4h,ROI_Annual_Percent,17.29,0.0474,71.3,7.74,9.09,115,PAPER_TRADE,2226_days,25-02-2020,01-04-2026,0.06%,tv_backtester_jan_2024,PAPER_ONLY,65.17,LOW_TRADES,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,VWAP Reversion BINANCEUSDT.P 2026-04-03,VWAP Reversion,XRP,4h,ROI_Annual_Percent,15.21,0.0417,73.45,7.48,8.87,113,PAPER_TRADE,2207_days,17-02-2020,04-03-2026,0.06%,tv_backtester_jan_2024,PAPER_ONLY,64.66,LOW_TRADES,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,Engulfing V2 BINANCEUSDT.P 2026-04-03,Engulfing V2,LDO,4h,ROI_Annual_Percent,48.88,0.1339,80.0,7.71,11.11,105,PAPER_TRADE,1257_days,17-10-2022,28-03-2026,0.06%,tv_backtester_jan_2024,PAPER_ONLY,63.82,LOW_TRADES,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,Engulfing V2 BINANCEUSDT.P 2026-04-03,Engulfing V2,SOL,4h,ROI_Annual_Percent,38.01,0.1041,64.68,7.74,12.28,201,PAPER_TRADE,1993_days,16-10-2020,02-04-2026,0.06%,tv_backtester_jan_2024,PAPER_ONLY,63.62,LOW_TRADES,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,Engulfing V2 BINANCEUSDT.P 2026-04-03 (1),Engulfing V2,SOL,4h,ROI_Annual_Percent,38.01,0.1041,64.68,7.74,12.28,201,PAPER_TRADE,1993_days,16-10-2020,02-04-2026,0.06%,tv_backtester_jan_2024,PAPER_ONLY,63.62,LOW_TRADES,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,HA Trend BINANCEUSDT.P 2026-04-03,HA Trend,DOT,4h,ROI_Annual_Percent,144.37,0.3955,78.06,7.03,15.4,547,TIER_2,2029_days,10-09-2020,01-04-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,62.97,,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
