Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Max_Drawdown,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
267,VWAP_Breakout,BTCUSDT,15m,10000,8841.93,-1158.07,-11.58,-1158.07,-1158.07,37,6,31,16.22,0.87,6.64,-0.12,42.88,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",15m
268,VWAP_ADX_Strength,BTCUSDT,15m,10000,8812.45,-1187.55,-11.88,-1187.55,-1187.55,41,6,35,14.63,0.86,6.18,-0.13,42.41,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",15m
269,VWAP_Momentum,BTCUSDT,15m,10000,8811.11,-1188.89,-11.89,-1188.89,-1188.89,61,9,52,14.75,0.89,5.28,-0.07,40.94,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",15m
270,ADX_BB_Combo,BTCUSDT,4h,10000,8805.37,-1194.63,-11.95,-1194.63,-1194.63,102,19,83,18.63,0.92,3.93,-0.04,38.34,C,Inactive,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
271,ADX_Volatility_Trade,BTCUSDT,4h,10000,8805.37,-1194.63,-11.95,-1194.63,-1194.63,102,19,83,18.63,0.92,3.93,-0.04,38.34,C,Inactive,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
272,Breakout_Stochastic_ADX,BTCUSDT,15m,10000,8801.96,-1198.04,-11.98,-1198.04,-1198.04,36,6,30,16.67,0.87,7.08,-0.12,43.8,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",15m
273,Supertrend_Multi_Pro,BTCUSDT,15m,10000,8794.21,-1205.79,-12.06,-1205.79,-1205.79,40,6,34,15.0,0.86,6.2,-0.14,43.03,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",15m
274,Golden_Cross_Pro,BTCUSDT,15m,10000,8794.21,-1205.79,-12.06,-1205.79,-1205.79,40,6,34,15.0,0.86,6.2,-0.14,43.03,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",15m
275,Multi_Trend_Entry,BTCUSDT,15m,10000,8794.21,-1205.79,-12.06,-1205.79,-1205.79,40,6,34,15.0,0.86,6.2,-0.14,43.03,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",15m
276,Trend_Follower_Multi,BTCUSDT,15m,10000,8794.21,-1205.79,-12.06,-1205.79,-1205.79,40,6,34,15.0,0.86,6.2,-0.14,43.03,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",15m
