Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Max_Drawdown,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
355,RSI_Trend_Trade,BNBUSDT,15m,10000,10418.58,418.58,4.19,4.19,4.19,78,14,64,17.95,1.02,6.47,0.27,54.76,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.012, TP:0.08, TS:0.012",15m
356,ADX_Momentum,BNBUSDT,15m,10000,10417.1,417.1,4.17,4.17,4.17,78,14,64,17.95,1.02,6.47,0.27,54.76,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.012, TP:0.08, TS:0.012",15m
357,RSI_Extreme_Reversal,BNBUSDT,15m,10000,10413.65,413.65,4.14,4.14,4.14,181,27,154,14.92,1.02,4.1,0.12,51.54,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.005, TP:0.05, TS:0.005",15m
358,ADX_Trend_Strength,BNBUSDT,15m,10000,10406.75,406.75,4.07,4.07,4.07,78,14,64,17.95,1.02,6.47,0.27,54.76,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.012, TP:0.08, TS:0.012",15m
359,MACD_VWAP_Supertrend,BNBUSDT,15m,10000,10401.83,401.83,4.02,4.02,4.02,69,13,56,18.84,1.02,6.88,0.3,52.67,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.015, TP:0.09, TS:0.015",15m
360,Bollinger_Break_Upper,BNBUSDT,15m,10000,10400.18,400.18,4.0,4.0,4.0,60,12,48,20.0,1.02,7.19,0.33,47.62,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.015, TP:0.09, TS:0.015",15m
361,Moderate_Strategy,BNBUSDT,1h,10000,10399.79,399.79,4.0,4.0,4.0,179,37,142,20.67,1.01,3.8,0.11,53.53,C,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.012, TP:0.07, TS:0.012",1h
362,Breakout_Volume_ADX,BNBUSDT,15m,10000,10398.47,398.47,3.98,3.98,3.98,42,9,33,21.43,1.03,8.81,0.47,51.76,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.02, TP:0.12, TS:0.02",15m
363,Stochastic_Trend,BNBUSDT,15m,10000,10390.15,390.15,3.9,3.9,3.9,78,14,64,17.95,1.02,6.48,0.27,54.88,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.012, TP:0.08, TS:0.012",15m
364,ADX_Stochastic_Trade,BNBUSDT,15m,10000,10390.15,390.15,3.9,3.9,3.9,78,14,64,17.95,1.02,6.48,0.27,54.88,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.012, TP:0.08, TS:0.012",15m
365,Aggressive_Growth,BNBUSDT,1h,10000,10385.89,385.89,3.86,3.86,3.86,59,11,48,18.64,1.02,6.03,0.25,41.74,C,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.02, TP:0.12, TS:0.02",1h
366,RSI_Stochastic_ADX,BNBUSDT,15m,10000,10383.87,383.87,3.84,3.84,3.84,84,15,69,17.86,1.02,6.29,0.25,53.56,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.012, TP:0.08, TS:0.012",15m
367,Stochastic_Pro_Trade,BNBUSDT,15m,10000,10378.19,378.19,3.78,3.78,3.78,65,12,53,18.46,1.02,7.14,0.31,52.43,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.015, TP:0.09, TS:0.015",15m
368,EMA_MACD_Stochastic,BNBUSDT,15m,10000,10378.19,378.19,3.78,3.78,3.78,65,12,53,18.46,1.02,7.14,0.31,52.43,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.015, TP:0.09, TS:0.015",15m
369,Stochastic_KD_Cross,BNBUSDT,1h,10000,10375.84,375.84,3.76,3.76,3.76,243,43,200,17.7,1.01,3.03,0.08,52.87,C,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.008, TP:0.06, TS:0.008",1h
370,MACD_BB_Stochastic_ADX,BNBUSDT,1h,10000,10366.05,366.05,3.66,3.66,3.66,71,14,57,19.72,1.02,4.73,0.18,46.31,C,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
371,EMA_Acceleration,BNBUSDT,4h,10000,10366.34,366.34,3.66,3.66,3.66,77,16,61,20.78,1.02,5.04,0.18,44.14,C,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
372,Supertrend_Cluster,BNBUSDT,15m,10000,10365.12,365.12,3.65,3.65,3.65,114,18,96,15.79,1.02,5.52,0.19,52.9,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.01, TP:0.07, TS:0.01",15m
373,VWAP_Cluster,BNBUSDT,15m,10000,10365.12,365.12,3.65,3.65,3.65,114,18,96,15.79,1.02,5.52,0.19,52.9,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.01, TP:0.07, TS:0.01",15m
374,Supertrend_Pro,BNBUSDT,15m,10000,10365.12,365.12,3.65,3.65,3.65,114,18,96,15.79,1.02,5.52,0.19,52.9,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.01, TP:0.07, TS:0.01",15m
375,Supertrend_RSI,BNBUSDT,15m,10000,10365.12,365.12,3.65,3.65,3.65,114,18,96,15.79,1.02,5.52,0.19,52.9,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.01, TP:0.07, TS:0.01",15m
376,MACD_Histogram_Trade,BNBUSDT,15m,10000,10359.66,359.66,3.6,3.6,3.6,115,19,96,16.52,1.02,5.46,0.19,53.04,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.01, TP:0.07, TS:0.01",15m
