Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
896,RSI_BB_VWAP,XRPUSDT,15m,10000,10683.47,683.47,6.83,6.83,6.83,14,3,11,21.43,1.49,3.54,0.66,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.01, TP:0.07, TS:0.01",15m
897,BB_Stochastic_ADX_Trend,SOLUSDT,15m,10000,10683.38,683.38,6.83,6.83,6.83,8,2,6,25,1.68,4.68,1.07,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.015, TP:0.09, TS:0.015",15m
898,Triple_EMA_Cross,SOLUSDT,15m,10000,10679.56,679.56,6.8,6.8,6.8,13,3,10,23.08,1.53,3.54,0.69,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.01, TP:0.07, TS:0.01",15m
899,MACD_Signal_Line,SOLUSDT,15m,10000,10679.56,679.56,6.8,6.8,6.8,13,3,10,23.08,1.53,3.54,0.69,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.01, TP:0.07, TS:0.01",15m
900,RSI_Extreme_Reversal,BTCUSDT,4h,10000,10672.71,672.71,6.73,6.73,6.73,71,16,55,22.54,1.08,3.04,0.24,C,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.005, TP:0.05, TS:0.005",4h
901,Triple_Confirmation,XRPUSDT,15m,10000,10671.13,671.13,6.71,6.71,6.71,14,3,11,21.43,1.6,2.99,0.63,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.008, TP:0.06, TS:0.008",15m
902,Moderate_Strategy,SOLUSDT,15m,10000,10669.73,669.73,6.7,6.7,6.7,12,3,9,25,1.5,3.78,0.74,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.012, TP:0.07, TS:0.012",15m
903,Trend_BB_Trade,BNBUSDT,1h,10000,10655.9,655.9,6.56,6.56,6.56,123,25,98,20.33,1.02,4.74,0.26,C,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.015, TP:0.09, TS:0.015",1h
904,RSI_Extreme_Reversal,BTCUSDT,15m,10000,10655.9,655.9,6.56,6.56,6.56,125,17,108,13.6,1.07,2.62,0.18,C,Active,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.10%,"SL:0.005, TP:0.05, TS:0.005",15m
905,RSI_Recovery,XRPUSDT,15m,10000,10654.69,654.69,6.55,6.55,6.55,14,3,11,21.43,1.59,2.97,0.62,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.008, TP:0.06, TS:0.008",15m
906,ADX_EMA_VWAP_MACD,BNBUSDT,15m,10000,10655.02,655.02,6.55,6.55,6.55,55,12,43,21.82,1.04,7.84,0.5,C,Active,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.10%,"SL:0.018, TP:0.1, TS:0.018",15m
907,Breakout_Retest,SOLUSDT,15m,10000,10652.95,652.95,6.53,6.53,6.53,7,2,5,28.57,2.36,3.19,1.1,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.008, TP:0.06, TS:0.008",15m
908,RSI_BB_VWAP,SOLUSDT,15m,10000,10651.16,651.16,6.51,6.51,6.51,13,3,10,23.08,1.49,3.59,0.67,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.01, TP:0.07, TS:0.01",15m
909,VWAP_Break_Pro,BNBUSDT,15m,10000,10647.69,647.69,6.48,6.48,6.48,65,13,52,20,1.04,7.08,0.43,C,Active,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.10%,"SL:0.015, TP:0.09, TS:0.015",15m
910,EMA_RSI_Momentum,XRPUSDT,15m,10000,10645.31,645.31,6.45,6.45,6.45,14,3,11,21.43,1.58,2.96,0.61,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.008, TP:0.06, TS:0.008",15m
911,RSI_Bullish_Divergence,SOLUSDT,15m,10000,10644.91,644.91,6.45,6.45,6.45,13,3,10,23.08,1.62,2.99,0.65,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.008, TP:0.06, TS:0.008",15m
912,RSI_BB_Combo,SOLUSDT,15m,10000,10644.91,644.91,6.45,6.45,6.45,13,3,10,23.08,1.62,2.99,0.65,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.008, TP:0.06, TS:0.008",15m
913,RSI_Divergence_Pro,SOLUSDT,15m,10000,10644.91,644.91,6.45,6.45,6.45,13,3,10,23.08,1.62,2.99,0.65,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.008, TP:0.06, TS:0.008",15m
914,Trend_Stochastic,BNBUSDT,1h,10000,10643.6,643.6,6.44,6.44,6.44,153,30,123,19.61,1.02,4.08,0.22,C,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.012, TP:0.08, TS:0.012",1h
915,ADX_EMA_VWAP_MACD,SOLUSDT,1h,10000,10632.01,632.01,6.32,6.32,6.32,19,4,15,21.05,1.19,5.34,0.57,C,Active,Historical_Parquet,41 days,04-02-2026,18-03-2026,0.10%,"SL:0.018, TP:0.1, TS:0.018",1h
916,BB_Stochastic_Pro,XRPUSDT,15m,10000,10631.15,631.15,6.31,6.31,6.31,13,3,10,23.08,1.55,3.07,0.64,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.008, TP:0.06, TS:0.008",15m
917,RSI_Trend_Trade,ETHUSDT,15m,10000,10629.58,629.58,6.3,6.3,6.3,123,19,104,15.45,1.02,7.52,0.39,C,Active,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.10%,"SL:0.012, TP:0.08, TS:0.012",15m
918,Max_Agreement,BNBUSDT,1h,10000,10628.33,628.33,6.28,6.28,6.28,60,12,48,20,1.03,7.62,0.46,C,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.025, TP:0.15, TS:0.025",1h
919,Breakout_Thermo,BTCUSDT,4h,10000,10626.58,626.58,6.27,6.27,6.27,42,10,32,23.81,1.07,5.76,0.4,C,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.018, TP:0.1, TS:0.018",4h
920,ADX_Momentum,ETHUSDT,15m,10000,10621.27,621.27,6.21,6.21,6.21,123,19,104,15.45,1.02,7.52,0.39,C,Active,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.10%,"SL:0.012, TP:0.08, TS:0.012",15m
921,VWAP_Trend_Follow,ETHUSDT,15m,10000,10616.06,616.06,6.16,6.16,6.16,121,19,102,15.7,1.02,7.58,0.4,C,Active,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.10%,"SL:0.012, TP:0.08, TS:0.012",15m
