Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Max_Drawdown,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
569,EMA_Cluster,ADAUSDT,4h,10000,6606.48,-3393.52,-33.94,-33.94,-33.94,91,19,72,20.88,0.66,3.14,-0.41,42.45,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",4h
570,EMA_Cloud_Strategy,ADAUSDT,4h,10000,6606.48,-3393.52,-33.94,-33.94,-33.94,91,19,72,20.88,0.66,3.14,-0.41,42.45,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",4h
571,ADX_Momentum,ADAUSDT,4h,10000,6603.97,-3396.03,-33.96,-33.96,-33.96,172,56,116,32.56,0.81,3.51,-0.18,44.76,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",4h
572,Stochastic_Momentum,ADAUSDT,4h,10000,6600.09,-3399.91,-34.0,-34.0,-34.0,177,62,115,35.03,0.81,3.64,-0.16,49.23,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
573,ADX_EMA_BB,ADAUSDT,4h,10000,6551.77,-3448.23,-34.48,-34.48,-34.48,100,29,71,29.0,0.71,4.07,-0.35,41.29,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",4h
574,VWAP_ADX_Trade,ADAUSDT,4h,10000,6550.5,-3449.5,-34.49,-34.49,-34.49,144,52,92,36.11,0.8,3.8,-0.22,56.78,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
575,Low_Risk_Trade,ADAUSDT,1h,10000,6469.65,-3530.35,-35.3,-35.3,-35.3,153,45,108,29.41,0.55,1.42,-0.27,36.61,D,Inactive,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.005, TP:0.04, TS:0.005",1h
576,ADX_Volume_Trade,ADAUSDT,4h,10000,6453.84,-3546.16,-35.46,-35.46,-35.46,147,51,96,34.69,0.8,3.81,-0.23,59.06,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
577,MACD_Volume,ADAUSDT,4h,10000,6453.84,-3546.16,-35.46,-35.46,-35.46,147,51,96,34.69,0.8,3.81,-0.23,59.06,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
578,Trend_BB_Trade,ADAUSDT,4h,10000,6408.17,-3591.83,-35.92,-35.92,-35.92,153,55,98,35.95,0.81,3.77,-0.22,56.52,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
579,Breakout_Success,ADAUSDT,4h,10000,6379.21,-3620.79,-36.21,-36.21,-36.21,129,40,89,31.01,0.75,4.14,-0.27,54.73,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
580,ADX_Breakout_Pro,ADAUSDT,4h,10000,6379.21,-3620.79,-36.21,-36.21,-36.21,129,40,89,31.01,0.75,4.14,-0.27,54.73,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
581,Volume_Confirm,ADAUSDT,4h,10000,6379.21,-3620.79,-36.21,-36.21,-36.21,129,40,89,31.01,0.75,4.14,-0.27,54.73,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
582,Breakout_Volume_Confirm,ADAUSDT,4h,10000,6379.21,-3620.79,-36.21,-36.21,-36.21,129,40,89,31.01,0.75,4.14,-0.27,54.73,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
583,Volume_Profile_Breakout,ADAUSDT,4h,10000,6379.21,-3620.79,-36.21,-36.21,-36.21,129,40,89,31.01,0.75,4.14,-0.27,54.73,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
584,Breakout_Hunter,ADAUSDT,4h,10000,6348.8,-3651.2,-36.51,-36.51,-36.51,70,19,51,27.14,0.58,4.13,-0.58,51.51,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
585,ADX_BB_Entry,ADAUSDT,4h,10000,6313.8,-3686.2,-36.86,-36.86,-36.86,175,58,117,33.14,0.8,3.46,-0.2,48.73,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",4h
586,EMA_Break_Momentum,ADAUSDT,4h,10000,6254.77,-3745.23,-37.45,-37.45,-37.45,60,16,44,26.67,0.55,3.55,-0.74,42.89,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
587,VWAP_Trend_Strength,ADAUSDT,4h,10000,6209.21,-3790.79,-37.91,-37.91,-37.91,148,53,95,35.81,0.79,3.78,-0.25,58.15,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
588,MACD_ADX_Combo,ADAUSDT,4h,10000,6187.73,-3812.27,-38.12,-38.12,-38.12,150,54,96,36.0,0.79,3.78,-0.25,58.27,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
589,MACD_Trend_Follow,ADAUSDT,4h,10000,6187.73,-3812.27,-38.12,-38.12,-38.12,150,54,96,36.0,0.79,3.78,-0.25,58.27,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
590,MACD_Supertrend_ADX,ADAUSDT,4h,10000,6187.73,-3812.27,-38.12,-38.12,-38.12,150,54,96,36.0,0.79,3.78,-0.25,58.27,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
591,Breakout_Stochastic_ADX,ADAUSDT,4h,10000,6185.35,-3814.65,-38.15,-38.15,-38.15,72,18,54,25.0,0.63,4.48,-0.59,44.15,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",4h
592,VWAP_Stochastic,ADAUSDT,4h,10000,6167.92,-3832.08,-38.32,-38.32,-38.32,135,34,101,25.19,0.72,3.84,-0.29,47.9,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
593,Volume_Surge_Entry,ADAUSDT,4h,10000,6150.2,-3849.8,-38.5,-38.5,-38.5,155,42,113,27.1,0.74,3.11,-0.27,45.6,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
594,ADX_EMA_VWAP_MACD,ADAUSDT,4h,10000,6133.76,-3866.24,-38.66,-38.66,-38.66,62,17,45,27.42,0.53,3.49,-0.75,44.0,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
