Rank,name,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,ROI_per_annum,ROI_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Gross_DD_Percent,Net_DD_Percent,Capital_At_Net_DD,Performance_Grade,Deployment_Status,Score,Data_Source,Time_Period,Time_Start,Time_End,Fees_Exchange,Candle_Period,Parameters
39,Aggressive_Growth,"EMA_Cross, MACD_Cross, Volume_Spike, Breakout_20, ADX_Trend, VWAP",BNBUSDT,4h,10000,48569.08,38569.08,28.94,385.69,567,134,433,23.63,1.09,2.14,0.5858,78.01,1.54,9846.04,B,Active,172.22,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=1.5%, TP=10.0%, TS=2.0%"
40,Breakout_Hunter,"Breakout_20, Volume_Spike, MACD_Cross, Supertrend",ETHUSDT,4h,10000,47975.36,37975.36,28.69,379.75,476,169,307,35.5,1.07,2.14,0.6563,59.32,12.36,8763.55,B,Active,173.29,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=3.0%, TP=8.0%, TS=2.5%"
41,Trend_Acceleration,"EMA_Cross, ADX_Trend, Volume_Spike, Trend_MA50",BTCUSDT,4h,10000,47689.2,37689.2,28.56,376.89,780,271,509,34.74,1.08,2.67,0.3877,63.25,1.92,9807.95,B,Active,171.99,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=1.5%, TP=5.0%, TS=2.0%"
42,EMA_Retracement,"EMA_Cross, BB_Lower, RSI_Oversold",BNBUSDT,4h,10000,47467.78,37467.78,28.47,374.68,938,408,530,43.5,1.07,2.31,0.4036,65.74,8.95,9104.93,B,Active,173.62,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=3.0%, TP=15.0%, TS=3.0%"
43,Volume_Weighted_Entry,"Volume_Spike, VWAP, EMA_Cross",ETHUSDT,4h,10000,45258.74,35258.74,27.48,352.59,507,130,377,25.64,1.03,1.95,0.7308,73.6,0.9,9910.32,B,Active,159.06,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=5.0%, TP=15.0%, TS=2.5%"
44,Trend_Acceleration,"EMA_Cross, ADX_Trend, Volume_Spike, Trend_MA50",BNBUSDT,4h,10000,44590.19,34590.19,27.18,345.9,1001,341,660,34.07,1.08,2.44,0.3584,70.56,28.82,7118.17,B,Active,159.39,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=1.5%, TP=5.0%, TS=2.0%"
45,EMA_Cloud_Strength,"EMA_Cross, Trend_MA50, ADX_Trend",LINKUSDT,4h,10000,43501.43,33501.43,26.68,335.01,579,129,450,22.28,1.04,1.96,0.643,68.93,0.33,9967.21,B,Active,151.05,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=2.5%, TP=15.0%, TS=2.0%"
46,Volume_Surge_Entry,"Volume_Spike, EMA_Cross, RSI_Oversold",SOLUSDT,4h,10000,37149.96,27149.96,26.39,271.5,1124,407,717,36.21,1.03,2.11,0.4189,76.73,17.78,8221.91,B,Active,129.75,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,4h,"SL=5.0%, TP=15.0%, TS=3.0%"
47,Trend_Follower_Multi,"EMA_Cross, MACD_Cross, ADX_Trend, Trend_MA50",LINKUSDT,4h,10000,42694.48,32694.48,26.29,326.94,653,156,497,23.89,1.03,1.97,0.5973,71.5,0.33,9967.21,B,Active,148.27,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=2.0%"
48,Golden_Cross_Pro,"EMA_Cross, MACD_Cross, ADX_Trend, Trend_MA50",XRPUSDT,4h,10000,42526.41,32526.41,26.21,325.26,900,331,569,36.78,1.03,2.2,0.4256,82.34,18.02,8198.4,B,Active,151.42,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=2.5%, TP=5.0%, TS=2.5%"
49,MACD_Divergence,"MACD_Cross, EMA_Cross, BB_Lower",ADAUSDT,4h,10000,41962.67,31962.67,25.94,319.63,1084,440,644,40.59,1.01,2.2,0.3947,93.05,0.12,9987.63,B,Active,150.14,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=3.0%"
50,EMA_Cloud_Strength,"EMA_Cross, Trend_MA50, ADX_Trend",BTCUSDT,4h,10000,41827.16,31827.16,25.88,318.27,334,96,238,28.74,1.15,2.09,0.7344,52.56,1.92,9807.95,B,Active,147.46,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=2.5%, TP=15.0%, TS=2.0%"
51,EMA_Retracement,"EMA_Cross, BB_Lower, RSI_Oversold",ADAUSDT,4h,10000,41586.6,31586.6,25.76,315.87,1156,488,668,42.21,1.01,2.23,0.3831,90.68,0.12,9987.63,B,Active,149.13,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=3.0%, TP=15.0%, TS=3.0%"
