Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,ROI/annum,ROI_Percent,ROI_per_annum%,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Data_Source,Paramters: Candle period
148,Volume_Spike,BTC/USDT,15m,10000,9402.73,-597.27,-21800.38,-5.97,-218.0,60,20,40,33.33,Binance,15m
149,MACD_Crossover,ETH/USDT,15m,10000,9396.87,-603.13,-22014.15,-6.03,-220.14,43,12,31,27.91,Binance,15m
150,Stochastic_Overbought,BTC/USDT,15m,10000,9377.79,-622.21,-22710.72,-6.22,-227.11,62,17,45,27.42,Binance,15m
151,Bollinger_Breakout,AVAX/USDT,15m,10000,9370.19,-629.81,-22987.94,-6.3,-229.88,34,11,23,32.35,Binance,15m
152,Momentum,LINK/USDT,15m,10000,9353.21,-646.79,-23607.67,-6.47,-236.08,82,22,60,26.83,Binance,15m
153,VWAP_Cross,AVAX/USDT,1h,10000,7321.76,-2678.24,-23842.85,-26.78,-238.43,23,0,23,0.0,Binance,1h
154,VWAP_Cross,LINK/USDT,1h,10000,7193.94,-2806.06,-24980.74,-28.06,-249.81,23,0,23,0.0,Binance,1h
155,Momentum,AVAX/USDT,15m,10000,9311.38,-688.62,-25134.6,-6.89,-251.35,85,22,63,25.88,Binance,15m
156,Volume_Spike,LINK/USDT,15m,10000,9230.79,-769.21,-28076.23,-7.69,-280.76,56,23,33,41.07,Binance,15m
157,Stochastic_Overbought,ETH/USDT,15m,10000,9136.03,-863.97,-31535.05,-8.64,-315.35,67,14,53,20.9,Binance,15m
158,Trend_Strength,AVAX/USDT,15m,10000,9112.52,-887.48,-32392.98,-8.87,-323.93,23,4,19,17.39,Binance,15m
159,Supertrend,AVAX/USDT,15m,10000,9112.52,-887.48,-32392.98,-8.87,-323.93,23,4,19,17.39,Binance,15m
160,EMA_Crossover,AVAX/USDT,15m,10000,9112.52,-887.48,-32392.98,-8.87,-323.93,23,4,19,17.39,Binance,15m
161,Supertrend,LINK/USDT,15m,10000,9095.31,-904.69,-33021.28,-9.05,-330.21,22,4,18,18.18,Binance,15m
162,Trend_Strength,LINK/USDT,15m,10000,9095.31,-904.69,-33021.28,-9.05,-330.21,22,4,18,18.18,Binance,15m
163,EMA_Crossover,LINK/USDT,15m,10000,9095.31,-904.69,-33021.28,-9.05,-330.21,22,4,18,18.18,Binance,15m
164,RSI_Trend,BTC/USDT,15m,10000,9042.88,-957.12,-34934.75,-9.57,-349.35,71,20,51,28.17,Binance,15m
165,MACD_Crossover,SOL/USDT,15m,10000,9034.61,-965.39,-35236.82,-9.65,-352.37,45,13,32,28.89,Binance,15m
166,VWAP_Cross,ETH/USDT,15m,10000,8924.89,-1075.11,-39241.38,-10.75,-392.41,25,1,24,4.0,Binance,15m
167,Stochastic_Overbought,AVAX/USDT,15m,10000,8911.34,-1088.66,-39736.1,-10.89,-397.36,65,19,46,29.23,Binance,15m
168,RSI_Trend,SOL/USDT,15m,10000,8814.44,-1185.56,-43272.83,-11.86,-432.73,61,16,45,26.23,Binance,15m
169,Stochastic_Overbought,SOL/USDT,15m,10000,8682.18,-1317.82,-48100.38,-13.18,-481.0,64,8,56,12.5,Binance,15m
170,MACD_Crossover,LINK/USDT,15m,10000,8676.68,-1323.32,-48301.05,-13.23,-483.01,49,11,38,22.45,Binance,15m
171,VWAP_Cross,SOL/USDT,15m,10000,8672.93,-1327.07,-48437.95,-13.27,-484.38,27,1,26,3.7,Binance,15m
172,VWAP_Cross,LINK/USDT,15m,10000,8632.41,-1367.59,-49917.11,-13.68,-499.17,31,1,30,3.23,Binance,15m
173,RSI_Trend,ETH/USDT,15m,10000,8558.12,-1441.88,-52628.61,-14.42,-526.29,69,15,54,21.74,Binance,15m
174,RSI_Trend,LINK/USDT,15m,10000,8297.87,-1702.13,-62127.71,-17.02,-621.28,79,21,58,26.58,Binance,15m
175,Stochastic_Overbought,LINK/USDT,15m,10000,8278.08,-1721.92,-62850.11,-17.22,-628.5,71,11,60,15.49,Binance,15m
176,RSI_Trend,AVAX/USDT,15m,10000,8258.56,-1741.44,-63562.54,-17.41,-635.63,70,17,53,24.29,Binance,15m
