Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
227,Exit long,2023-10-07 09:30,Exit Long,27970,0.003446,96.55692,-0.27,-0.28,0,0.00,-0.22,-0.23,-34.2,-3.42
227,Entry long,2023-10-07 08:45,Long,28020,0.003446,96.55692,-0.27,-0.28,0,0.00,-0.22,-0.23,-34.2,-3.42
228,Exit short,2023-10-07 21:00,Mean Exit,27937,0.003459,96.551067,-0.18,-0.19,0.08,0.08,-0.13,-0.14,-34.38,-3.44
228,Entry short,2023-10-07 19:30,Short,27913,0.003459,96.551067,-0.18,-0.19,0.08,0.08,-0.13,-0.14,-34.38,-3.44
229,Exit short,2023-10-09 01:45,Exit Short,27914,0.003465,96.4656,-0.35,-0.37,0.03,0.04,-0.3,-0.32,-34.73,-3.47
229,Entry short,2023-10-09 00:30,Short,27840,0.003465,96.4656,-0.35,-0.37,0.03,0.04,-0.3,-0.32,-34.73,-3.47
230,Exit long,2023-10-09 23:00,Mean Exit,27594,0.00349,96.49501,-0.29,-0.30,0.3,0.31,-0.39,-0.41,-35.02,-3.50
230,Entry long,2023-10-09 18:15,Long,27649,0.00349,96.49501,-0.29,-0.30,0.3,0.31,-0.39,-0.41,-35.02,-3.50
231,Exit short,2023-10-11 03:30,Exit Short,27036,0.003552,96.458112,0.33,0.34,0.38,0.39,-0.18,-0.18,-34.69,-3.47
231,Entry short,2023-10-11 02:45,Short,27156,0.003552,96.458112,0.33,0.34,0.38,0.39,-0.18,-0.18,-34.69,-3.47
232,Exit long,2023-10-11 10:00,Exit Long,27291,0.003548,96.477216,0.25,0.26,0.3,0.31,-0.06,-0.06,-34.44,-3.44
232,Entry long,2023-10-11 09:45,Long,27192,0.003548,96.477216,0.25,0.26,0.3,0.31,-0.06,-0.06,-34.44,-3.44
233,Exit long,2023-10-13 03:30,Exit Long,26772,0.003596,96.491468,-0.32,-0.33,0.06,0.06,-0.27,-0.28,-34.75,-3.48
233,Entry long,2023-10-13 00:30,Long,26833,0.003596,96.491468,-0.32,-0.33,0.06,0.06,-0.27,-0.28,-34.75,-3.48
234,Exit long,2023-10-13 08:30,Exit Long,26830,0.003589,96.461553,-0.27,-0.27,0.12,0.12,-0.22,-0.22,-35.02,-3.50
234,Entry long,2023-10-13 07:30,Long,26877,0.003589,96.461553,-0.27,-0.27,0.12,0.12,-0.22,-0.22,-35.02,-3.50
235,Exit long,2023-10-13 21:00,Exit Long,26889,0.003575,96.44635,-0.41,-0.43,0,0.00,-0.37,-0.38,-35.43,-3.54
235,Entry long,2023-10-13 21:00,Long,26978,0.003575,96.44635,-0.41,-0.43,0,0.00,-0.37,-0.38,-35.43,-3.54
236,Exit short,2023-10-17 13:15,Exit Short,28345,0.003415,96.37813,-0.52,-0.54,0.16,0.16,-0.47,-0.49,-35.95,-3.59
236,Entry short,2023-10-17 13:00,Short,28222,0.003415,96.37813,-0.52,-0.54,0.16,0.16,-0.47,-0.49,-35.95,-3.59
237,Exit long,2023-10-19 10:00,Exit Long,28489,0.003392,96.36672,0.17,0.18,0.22,0.23,-0.15,-0.16,-35.78,-3.58
237,Entry long,2023-10-19 09:45,Long,28410,0.003392,96.36672,0.17,0.18,0.22,0.23,-0.15,-0.16,-35.78,-3.58
238,Exit long,2023-10-19 16:15,Exit Long,28861,0.003358,96.3746,0.44,0.46,0.49,0.51,-0.41,-0.43,-35.33,-3.53
238,Entry long,2023-10-19 15:00,Long,28700,0.003358,96.3746,0.44,0.46,0.49,0.51,-0.41,-0.43,-35.33,-3.53
239,Exit long,2023-10-23 16:30,Exit Long,31122,0.00312,96.41736,0.59,0.61,0.64,0.66,-0.39,-0.40,-34.75,-3.47
239,Entry long,2023-10-23 15:15,Long,30903,0.00312,96.41736,0.59,0.61,0.64,0.66,-0.39,-0.40,-34.75,-3.47
240,Exit short,2023-10-26 07:00,Exit Short,34661,0.002793,96.461841,-0.44,-0.46,0.25,0.26,-0.39,-0.41,-35.19,-3.52
240,Entry short,2023-10-26 06:00,Short,34537,0.002793,96.461841,-0.44,-0.46,0.25,0.26,-0.39,-0.41,-35.19,-3.52
241,Exit long,2023-10-29 08:45,Exit Long,34183,0.002826,96.40899,0.1,0.10,0.14,0.15,-0.18,-0.18,-35.09,-3.51
241,Entry long,2023-10-29 06:45,Long,34115,0.002826,96.40899,0.1,0.10,0.14,0.15,-0.18,-0.18,-35.09,-3.51
242,Exit long,2023-10-30 09:30,Exit Long,34654,0.002797,96.437763,0.39,0.41,0.44,0.46,-0.05,-0.05,-34.7,-3.47
242,Entry long,2023-10-30 09:15,Long,34479,0.002797,96.437763,0.39,0.41,0.44,0.46,-0.05,-0.05,-34.7,-3.47
243,Exit long,2023-10-31 12:45,Mean Exit,34366,0.002802,96.467256,-0.27,-0.28,0.3,0.31,-0.23,-0.24,-34.97,-3.50
243,Entry long,2023-10-31 09:15,Long,34428,0.002802,96.467256,-0.27,-0.28,0.3,0.31,-0.23,-0.24,-34.97,-3.50
244,Exit long,2023-11-01 13:15,Exit Long,34953,0.002772,96.471144,0.32,0.33,0.37,0.38,-0.39,-0.40,-34.65,-3.46
244,Entry long,2023-11-01 13:00,Long,34802,0.002772,96.471144,0.32,0.33,0.37,0.38,-0.39,-0.40,-34.65,-3.46
245,Exit short,2023-11-02 13:30,Exit Short,34979,0.002743,96.501483,0.46,0.47,0.51,0.52,-0.2,-0.21,-34.19,-3.42
