Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Max_Drawdown,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
2852,ADX_Stochastic_VWAP,XRPUSDT,4h,10000,7759.42,-2240.58,-22.41,-22.41,-22.41,15,2,13,13.33,0.39,5.58,-1.6,,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
2853,VWAP_Momentum,XRPUSDT,4h,10000,7752.56,-2247.44,-22.47,-22.47,-22.47,51,7,44,13.73,0.7,4.33,-0.42,,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",4h
2854,Aggressive_Growth,BTCUSDT,4h,10000,7751.69,-2248.31,-22.48,-2248.31,-2248.31,31,4,27,12.9,0.67,5.21,-0.72,29.06,C,Inactive,Historical_Parquet,364 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",4h
2855,MACD_Trend_Strength,BTCUSDT,4h,10000,7751.53,-2248.47,-22.48,-2248.47,-2248.47,37,6,31,16.22,0.69,4.83,-0.6,28.57,C,Inactive,Historical_Parquet,364 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
2856,Volume_Trend_ADX,BTCUSDT,4h,10000,7751.53,-2248.47,-22.48,-2248.47,-2248.47,37,6,31,16.22,0.69,4.83,-0.6,28.57,C,Inactive,Historical_Parquet,364 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
2857,Breakout_Cluster,BTCUSDT,4h,10000,7750.25,-2249.75,-22.5,-2249.75,-2249.75,32,5,27,15.62,0.67,4.81,-0.71,27.85,C,Inactive,Historical_Parquet,364 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
2858,Triple_Confirmation,ETHUSDT,15m,10000,7748.39,-2251.61,-22.52,-22.52,-22.52,215,29,186,13.49,0.93,5.46,0.02,63.52,C,Inactive,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.01%,"SL:0.008, TP:0.06, TS:0.008",15m
2859,Volatility_Expansion,XRPUSDT,4h,10000,7745.39,-2254.61,-22.55,-22.55,-22.55,56,11,45,19.64,0.8,5.53,-0.32,,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
2860,EMA_MACD_Stochastic,ETHUSDT,4h,10000,7738.53,-2261.47,-22.61,-22.61,-22.61,129,26,103,20.16,0.93,5.4,-0.06,63.47,C,Inactive,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
2861,ADX_BB_Entry,BTCUSDT,1h,10000,7730.14,-2269.86,-22.7,-2269.86,-2269.86,137,21,116,15.33,0.88,3.72,-0.11,51.39,C,Inactive,Historical_Parquet,364 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",1h
2862,Trend_Channel_Bounce,BTCUSDT,1h,10000,7728.88,-2271.12,-22.71,-2271.12,-2271.12,161,24,137,14.91,0.88,3.15,-0.1,47.84,C,Inactive,Historical_Parquet,364 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",1h
2863,BB_Stochastic_ADX,BTCUSDT,1h,10000,7728.32,-2271.68,-22.72,-2271.68,-2271.68,155,24,131,15.48,0.88,3.25,-0.11,47.89,C,Inactive,Historical_Parquet,364 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",1h
2864,ADX_BB_MACD,SOLUSDT,4h,10000,7727,-2273,-22.73,-22.73,-22.73,49,10,39,20.41,0.75,5.38,-0.4,,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",4h
2865,RSI_Extreme_Reversal,XRPUSDT,4h,10000,7727.25,-2272.75,-22.73,-22.73,-22.73,28,4,24,14.29,0.42,3.58,-0.88,,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.005, TP:0.05, TS:0.005",4h
2866,Supertrend_Volume_ADX,XRPUSDT,4h,10000,7725.93,-2274.07,-22.74,-22.74,-22.74,50,9,41,18,0.77,5.94,-0.36,,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
2867,Support_Bounce,BTCUSDT,15m,10000,7723.92,-2276.08,-22.76,-2276.08,-2276.08,110,14,96,12.73,0.82,3.51,-0.17,53.28,C,Inactive,Historical_Parquet,365 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",15m
2868,BB_Squeeze_Pro,BTCUSDT,15m,10000,7723.92,-2276.08,-22.76,-2276.08,-2276.08,110,14,96,12.73,0.82,3.51,-0.17,53.28,C,Inactive,Historical_Parquet,365 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",15m
2869,VWAP_Support_Level,BTCUSDT,15m,10000,7723.92,-2276.08,-22.76,-2276.08,-2276.08,110,14,96,12.73,0.82,3.51,-0.17,53.28,C,Inactive,Historical_Parquet,365 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",15m
2870,RSI_Bounce,BTCUSDT,15m,10000,7723.92,-2276.08,-22.76,-2276.08,-2276.08,110,14,96,12.73,0.82,3.51,-0.17,53.28,C,Inactive,Historical_Parquet,365 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",15m
