Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
602,MACD_Volume,SOLUSDT,4h,10000,5217.58,-4782.42,-47.82,-47.82,-47.82,83,14,69,16.87,0.63,5.24,-0.68,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
603,Volume_Surge_Entry,SOLUSDT,4h,10000,5182.59,-4817.41,-48.17,-48.17,-48.17,104,18,86,17.31,0.58,3.69,-0.58,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
604,ADX_Momentum,SOLUSDT,4h,10000,5179.82,-4820.18,-48.2,-48.2,-48.2,95,16,79,16.84,0.62,4.77,-0.6,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",4h
605,Moderate_Strategy,SOLUSDT,4h,10000,5147.03,-4852.97,-48.53,-48.53,-48.53,106,21,85,19.81,0.65,4.46,-0.55,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.07, TS:0.012",4h
606,ADX_Trend_Strength,SOLUSDT,4h,10000,5120.25,-4879.75,-48.8,-48.8,-48.8,97,16,81,16.49,0.62,4.73,-0.6,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",4h
607,Volume_Surge_Breakout,SOLUSDT,4h,10000,5112.53,-4887.47,-48.87,-48.87,-48.87,84,14,70,16.67,0.62,5.2,-0.69,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
608,BB_Squeeze_Exit,SOLUSDT,4h,10000,5112.53,-4887.47,-48.87,-48.87,-48.87,84,14,70,16.67,0.62,5.2,-0.69,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
609,Channel_Breakout,SOLUSDT,4h,10000,5112.53,-4887.47,-48.87,-48.87,-48.87,84,14,70,16.67,0.62,5.2,-0.69,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
610,VWAP_Stochastic,SOLUSDT,4h,10000,5089.66,-4910.34,-49.1,-49.1,-49.1,86,13,73,15.12,0.53,3.81,-0.74,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
611,Supertrend_ADX_Pro,SOLUSDT,4h,10000,5066.27,-4933.73,-49.34,-49.34,-49.34,83,14,69,16.87,0.62,5.25,-0.71,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
612,Breakout_Confirmation,SOLUSDT,4h,10000,5049.36,-4950.64,-49.51,-49.51,-49.51,41,5,36,12.2,0.44,5.73,-1.57,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",4h
613,Breakout_Momentum,SOLUSDT,4h,10000,5013.26,-4986.74,-49.87,-49.87,-49.87,41,5,36,12.2,0.45,5.7,-1.59,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",4h
614,VWAP_Trend_Follow,SOLUSDT,4h,10000,4929.99,-5070.01,-50.7,-50.7,-50.7,94,15,79,15.96,0.58,4.7,-0.67,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",4h
615,Trend_Pullback_Entry,SOLUSDT,4h,10000,4915.66,-5084.34,-50.84,-50.84,-50.84,102,16,86,15.69,0.51,3.58,-0.65,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
616,High_Profit_Trade,SOLUSDT,4h,10000,4911.12,-5088.88,-50.89,-50.89,-50.89,23,1,22,4.35,0.15,4.18,-3.11,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.025, TP:0.15, TS:0.025",4h
617,Mega_Confirmation,SOLUSDT,4h,10000,4911.12,-5088.88,-50.89,-50.89,-50.89,23,1,22,4.35,0.15,4.18,-3.11,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.025, TP:0.15, TS:0.025",4h
618,Breakout_ADX,SOLUSDT,4h,10000,4907.49,-5092.51,-50.93,-50.93,-50.93,63,10,53,15.87,0.58,6.44,-0.98,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",4h
619,Supertrend_Alpha,SOLUSDT,4h,10000,4888.24,-5111.76,-51.12,-51.12,-51.12,86,14,72,16.28,0.6,5.14,-0.73,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
620,Supertrend_Volume,SOLUSDT,4h,10000,4888.24,-5111.76,-51.12,-51.12,-51.12,86,14,72,16.28,0.6,5.14,-0.73,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
